Name,Mobile Number,Email Address,Age,Address of Associated Institute(with map link),Course,Branch,Enrollment Number
Padget Lightmouth,9605983306,user0494@tutanota.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600010
Raamkrishna Joshi,8509205875,user0673@tempmail.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E20110139000002
Nirbhay Ligonio,8406071774,user0819@mail.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600049
Deepak Lhendup,9102962361,user0898@mail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600024
Mohanan Lightknight,8303637513,user0062@zoho.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600051
Manraj Lata,7904197189,user0270@outlook.com,20,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600050
Padyshchi Lias,8309130933,user0993@tutanota.com,26,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600063
Raanish Lightwelland,8303946603,user0186@protonmail.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600009
Ranjbo Liang,9005503590,user0060@mail.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E18110135600030
Ranjdi Lexer,9509833255,user0672@zoho.com,21,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600017
Ranjats Laxman,7607990466,user0677@mailinator.com,21,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600064
Ranjanabhai Lex,9205059972,user0995@protonmail.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600014
Mitesh Bhat,7206277232,user0586@mail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600044
Pacorro Lightfuss,7603527546,user0489@mailinator.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600007
Ranjah Ligone,9603664836,user0491@guerrillamail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600022
Azhar Mehta,7800155728,user0064@mailinator.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600042
Madhav Ligoff,7601795586,user0644@mail.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600046
Orlean Khalil,9109061741,user0711@mailinator.com,22,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E20110139000005
Paan Ligoby,8700150087,user0097@tempmail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600061
Opal Ligoni,8204504192,user0437@tempmail.com,24,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600027
Orlean Ligir,7406699104,user0126@tutanota.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600003
Omkar Pillai,9601709736,user0710@tempmail.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600038
Ophis Ligh,8902079529,user0019@mailinator.com,23,"Government Polytechnic Ghaziabad, 
Hapur Road, Shastri Nagar, Ghaziabad, 
Uttar Pradesh – 201002  ",Diploma,Information Technology,E19110135600036
